"cluster","gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"6","Plcl1",6.40612238625634e-43,0.965184898459937,0.916,0.501,2.06840879607445e-38
"6","Pou6f2",7.09745514429159e-43,0.860741333859515,0.884,0.397,2.29162631698887e-38
"6","Galnt9",1.02249284397052e-42,0.683058329285204,0.8,0.304,3.30142489461202e-38
"6","Chst11",2.74862349894593e-42,0.975339541177075,0.774,0.337,8.87475555339663e-38
"6","Erc2",3.3555888757658e-42,0.666729530657047,1,0.986,1.08345253620726e-37
"6","Celf4",5.01304182472505e-42,0.596533656467864,1,0.993,1.61861094436722e-37
"6","Ctnnd2",5.05490941259455e-42,0.602844355355807,1,0.991,1.63212915113853e-37
"6","Parm1",5.14714242813856e-42,0.661439577323764,0.568,0.157,1.66190934719738e-37
"6","Drd1",6.62793047131027e-42,0.385150027892081,0.497,0.114,2.14002619057666e-37
"6","Adamts20",1.49347662445265e-41,0.74098936196789,0.806,0.328,4.82213732503273e-37
"6","Cwh43",1.85820349733277e-41,0.40704649895105,0.458,0.1,5.99976745218806e-37
"6","Dock3",2.33371773256818e-41,0.689425622359902,1,0.974,7.53510781491613e-37
"6","Mrap2",6.25814839189441e-41,0.302934334025172,0.335,0.057,2.02063095277487e-36
"6","Rab26",8.38926902054104e-41,0.739684043556541,0.794,0.317,2.70872718135229e-36
"6","Zfp385b",1.86618880694978e-40,0.862763340373343,0.897,0.418,6.02555041987946e-36
"6","Runx2",3.89705302428185e-40,0.755897046146671,0.703,0.249,1.25828048048012e-35
"6","Miat",4.06637504983574e-40,0.833822375321204,0.987,0.929,1.31295117609096e-35
"6","Chl1",5.10890054808278e-40,0.814613175198151,0.994,0.833,1.64956180896497e-35
"6","G630016G05Rik",6.48553191920283e-40,0.269973120846929,0.316,0.051,2.09404854607221e-35
"6","Cobll1",8.67153670746791e-40,0.379422718400975,0.219,0.025,2.79986577210724e-35
"6","Nrip3",9.01369345660884e-40,0.447948114372707,0.477,0.117,2.91034134326986e-35
"6","B3galt2",1.01146955770681e-39,0.532277013119945,0.671,0.222,3.26583290792374e-35
"6","Arhgap44",1.11938066201978e-39,0.778545761440256,0.968,0.77,3.61425628152946e-35
"6","Hes1",1.3187702333899e-39,0.486775800551663,0.406,0.085,4.25804532956931e-35
"6","Inpp5a",2.71016049075274e-39,0.873421385026525,0.839,0.425,8.75056619254245e-35
